ISCO_88_Title_EN,ISCO_88_code,soc10,soc10_title,dup_flag,var6,
Armed forces,0110,551011,Air Crew Officers,0,,
Armed forces,0110,551012,Aircraft Launch and Recovery Officers,0,,
Armed forces,0110,551013,Armored Assault Vehicle Officers,0,,
Armed forces,0110,551014,Artillery and Missile Officers,0,,
Armed forces,0110,551015,Command and Control Center Officers,0,,
Armed forces,0110,551016,Infantry Officers,0,,
Armed forces,0110,551017,Special Forces Officers,0,,
Armed forces,0110,551019,"Military Officer Special and Tactical Operations Leaders, All Other",0,,
Armed forces,0110,552011,First-Line Supervisors of Air Crew Members,0,,
Armed forces,0110,552012,First-Line Supervisors of Weapons Specialists/Crew Members,0,,
Armed forces,0110,552013,First-Line Supervisors of All Other Tactical Operations Specialists,0,,
Armed forces,0110,553011,Air Crew Members,0,,
Armed forces,0110,553012,Aircraft Launch and Recovery Specialists,0,,
Armed forces,0110,553013,Armored Assault Vehicle Crew Members,0,,
Armed forces,0110,553014,Artillery and Missile Crew Members,0,,
Armed forces,0110,553015,Command and Control Center Specialists,0,,
Armed forces,0110,553016,Infantry,0,,
Armed forces,0110,553017,Radar and Sonar Technicians,0,,
Armed forces,0110,553018,Special Forces,0,,
Armed forces,0110,553019,"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other",0,,
Armed forces,0110,559010,,2,,
,1100,111021,General and Operations Managers,0,,
Legislators,1110,111031,Legislators,0,,
Senior government officials,1120,111021,General and Operations Managers,0,,
Senior government officials,1120,119161,Emergency Management Directors,0,,
Traditional chiefs and heads of villages,1130,111031,Legislators,0,,
Senior officials of special-interest organizations  ,1140,119151,Social and Community Service Managers,0,,
Senior officials of political-party organisations,1141,111031,Legislators,0,,
"Senior officials of employers', workers' and other economic-interest organisations",1142,119199,"Managers, All Other",0,,
Senior officials of humanitarian and other special-interest organisations,1143,112031,Public Relations and Fundraising Managers,0,,
,1200,111021,General and Operations Managers,0,,
Directors and chief executives,1210,111011,Chief Executives,0,,
"Production and operations department managers in agriculture, hunting, forestry and fishing",1221,119013,"Farmers, Ranchers, and Other Agricultural Managers",0,,
